locus_tag,gene,product,bp_length
PRJBM_RS00365,def,peptide deformylase,531
PRJBM_RS00370,rmuC,DNA recombination protein RmuC,1185
PRJBM_RS00375,,membrane protein,588
PRJBM_RS00380,,DUF1150 family protein,252
PRJBM_RS00385,,Hsp20 family protein,429
PRJBM_RS00390,nth,endonuclease III,741
PRJBM_RS00395,rpmI,50S ribosomal protein L35,204
PRJBM_RS00400,rplT,50S ribosomal protein L20,402
PRJBM_RS00405,pheS,phenylalanine--tRNA ligase subunit alpha,1086
PRJBM_RS00410,pheT,phenylalanine--tRNA ligase subunit beta,2415
PRJBM_RS00415,,metal ABC transporter substrate-binding protein,909
PRJBM_RS00420,,manganese/iron ABC transporter ATP-binding protein,831
PRJBM_RS00425,,metal ABC transporter permease,852
PRJBM_RS00430,,metal ABC transporter permease,906
PRJBM_RS00435,,YbaN family protein,384
PRJBM_RS00445,pncB,nicotinate phosphoribosyltransferase,1305
PRJBM_RS00450,,protein ndvB,8565
PRJBM_RS00455,rpsA,30S ribosomal protein S1,1701
PRJBM_RS00460,cmk,(d)CMP kinase,648
PRJBM_RS00465,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,1329
PRJBM_RS00470,,TIGR02300 family protein,381
PRJBM_RS00485,ilvD,dihydroxy-acid dehydratase,1839
PRJBM_RS09285,,Arm DNA-binding domain-containing protein,275
PRJBM_RS00495,mutS,DNA mismatch repair protein MutS,2745
PRJBM_RS00500,,NADP-dependent malic enzyme,2298
PRJBM_RS00505,secB,protein-export chaperone SecB,477
PRJBM_RS00510,,FxsA family protein,507
PRJBM_RS00515,,Tim44/TimA family putative adaptor protein,693
PRJBM_RS00520,,Smr/MutS family protein,621
PRJBM_RS00525,,Hsp33 family molecular chaperone,1011
PRJBM_RS00530,,aspartate aminotransferase family protein,1206
PRJBM_RS00535,,GcrA family cell cycle regulator,534
PRJBM_RS00540,,DsbE family thiol:disulfide interchange protein,648
PRJBM_RS09290,,hypothetical protein,252
PRJBM_RS00545,,heme ABC transporter permease,756
PRJBM_RS00550,ccmB,heme exporter protein CcmB,666
PRJBM_RS00555,ccmA,heme ABC exporter ATP-binding protein CcmA,627
PRJBM_RS00560,acnA,aconitate hydratase AcnA,2688
PRJBM_RS00565,rpsT,30S ribosomal protein S20,222
PRJBM_RS00570,dnaA,chromosomal replication initiator protein DnaA,1572
PRJBM_RS00575,dnaN,DNA polymerase III subunit beta,1122
PRJBM_RS00580,recF,DNA replication/repair protein RecF,1134
PRJBM_RS00585,aroQ,type II 3-dehydroquinate dehydratase,447
PRJBM_RS00590,cyoA,ubiquinol oxidase subunit II,972
PRJBM_RS00595,cyoB,cytochrome o ubiquinol oxidase subunit I,2019
PRJBM_RS00600,,cytochrome (ubi)quinol oxidase subunit III,666
PRJBM_RS00605,cyoD,cytochrome o ubiquinol oxidase subunit IV,687
PRJBM_RS00610,gpsA,NAD(P)H-dependent glycerol-3-phosphate dehydrogenase,1023
PRJBM_RS00615,fabI,enoyl-ACP reductase FabI,819
PRJBM_RS00620,fabB,beta-ketoacyl-ACP synthase I,1221
PRJBM_RS00625,fabA,3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA,510
PRJBM_RS00630,,transcriptional repressor,414
PRJBM_RS00635,,SH3 domain-containing protein,561
PRJBM_RS00640,rpsU,30S ribosomal protein S21,234
PRJBM_RS09245,,formate--tetrahydrofolate ligase,249
PRJBM_RS08375,,formate--tetrahydrofolate ligase,413
PRJBM_RS00645,,formate--tetrahydrofolate ligase,1139
PRJBM_RS00655,,efflux RND transporter periplasmic adaptor subunit,1143
PRJBM_RS00660,,efflux RND transporter permease subunit,3135
PRJBM_RS00665,pgi,glucose-6-phosphate isomerase,1665
PRJBM_RS00675,rplU,50S ribosomal protein L21,477
PRJBM_RS00680,rpmA,50S ribosomal protein L27,270
PRJBM_RS08905,,hypothetical protein,171
PRJBM_RS00685,ptsP,phosphoenolpyruvate--protein phosphotransferase,2505
PRJBM_RS09295,,hypothetical protein,480
PRJBM_RS00700,,hypothetical protein,282
PRJBM_RS08395,,hypothetical protein,459
PRJBM_RS00710,,helix-turn-helix domain-containing protein,294
PRJBM_RS00715,,helix-turn-helix domain-containing protein,504
PRJBM_RS00720,,helix-turn-helix domain-containing protein,300
PRJBM_RS00725,,helix-turn-helix domain-containing protein,543
PRJBM_RS00730,,hypothetical protein,195
PRJBM_RS00735,,Vomp family autotransporter,5181
PRJBM_RS00740,,hypothetical protein,348
PRJBM_RS00745,,YadA-like family protein,521
PRJBM_RS00750,,Vomp family autotransporter,8649
PRJBM_RS00755,,invasion associated locus B family protein,573
PRJBM_RS00760,,Ppx/GppA family phosphatase,1311
PRJBM_RS00765,,RlmE family RNA methyltransferase,744
PRJBM_RS00775,obgE,GTPase ObgE,1023
PRJBM_RS00780,proB,glutamate 5-kinase,1140
PRJBM_RS00785,,glutamate-5-semialdehyde dehydrogenase,1257
PRJBM_RS00790,,nicotinate-nucleotide adenylyltransferase,594
PRJBM_RS00795,rsfS,ribosome silencing factor,444
PRJBM_RS00800,rlmH,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,483
PRJBM_RS00805,,peptidoglycan DD-metalloendopeptidase family protein,1281
PRJBM_RS00810,,S41 family peptidase,1311
PRJBM_RS00815,,RNA pyrophosphohydrolase,522
PRJBM_RS00820,,invasion associated locus B family protein,561
PRJBM_RS00825,,YggT family protein,288
PRJBM_RS00830,,DUF167 family protein,336
PRJBM_RS00835,ppa,inorganic diphosphatase,531
PRJBM_RS00840,typA,translational GTPase TypA,1827
PRJBM_RS00845,mgtE,magnesium transporter,1377
PRJBM_RS00850,,M3 family metallopeptidase,2025
PRJBM_RS00855,,DUF459 domain-containing protein,1062
PRJBM_RS00860,,lytic murein transglycosylase,1257
PRJBM_RS00865,galU,UTP--glucose-1-phosphate uridylyltransferase GalU,894
PRJBM_RS00870,,KpsF/GutQ family sugar-phosphate isomerase,996
PRJBM_RS00875,,hypothetical protein,360
PRJBM_RS00880,,sigma 54-interacting transcriptional regulator,1386
PRJBM_RS00885,,phospholipase D family protein,1572
PRJBM_RS00890,guaB,IMP dehydrogenase,1500
PRJBM_RS09075,,hypothetical protein,150
PRJBM_RS00895,,RsmB/NOP family class I SAM-dependent RNA methyltransferase,1287
PRJBM_RS00900,guaA,glutamine-hydrolyzing GMP synthase,1557
PRJBM_RS00905,,glycerophosphodiester phosphodiesterase,723
PRJBM_RS00910,,sn-glycerol-3-phosphate import ATP-binding protein UgpC,1047
PRJBM_RS00915,ugpE,sn-glycerol-3-phosphate ABC transporter permease UgpE,852
PRJBM_RS00920,ugpA,sn-glycerol-3-phosphate ABC transporter permease UgpA,885
PRJBM_RS00925,ugpB,sn-glycerol-3-phosphate ABC transporter substrate-binding protein UgpB,1326
PRJBM_RS00930,,zinc ABC transporter substrate-binding protein,921
PRJBM_RS00935,,metal ABC transporter permease,882
PRJBM_RS00940,,ABC transporter ATP-binding protein,753
PRJBM_RS00945,nrdH,glutaredoxin-like protein NrdH,225
PRJBM_RS00950,nrdI,class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI,399
PRJBM_RS00955,nrdE,class 1b ribonucleoside-diphosphate reductase subunit alpha,2151
PRJBM_RS00960,nrdF,class 1b ribonucleoside-diphosphate reductase subunit beta,975
PRJBM_RS00965,prmC,peptide chain release factor N(5)-glutamine methyltransferase,867
PRJBM_RS00970,prfA,peptide chain release factor 1,1080
PRJBM_RS00975,,transcriptional repressor,456
PRJBM_RS00980,secA,preprotein translocase subunit SecA,2718
PRJBM_RS00985,,peptidylprolyl isomerase,954
PRJBM_RS00990,argJ,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,1233
PRJBM_RS00995,mutT,8-oxo-dGTP diphosphatase MutT,414
PRJBM_RS01000,,NlpC/P60 family protein,864
PRJBM_RS01005,,leucyl aminopeptidase family protein,1368
PRJBM_RS01010,coaA,type I pantothenate kinase,945
PRJBM_RS01015,,asparaginase,990
PRJBM_RS01020,hslV,ATP-dependent protease subunit HslV,582
PRJBM_RS01025,hslU,ATP-dependent protease ATPase subunit HslU,1311
PRJBM_RS01030,,class I SAM-dependent methyltransferase,999
PRJBM_RS01035,pnp,polyribonucleotide nucleotidyltransferase,2202
PRJBM_RS01040,rpsO,30S ribosomal protein S15,270
PRJBM_RS01045,,MFS transporter,1629
PRJBM_RS01050,truB,tRNA pseudouridine(55) synthase TruB,960
PRJBM_RS01055,rbfA,30S ribosome-binding factor RbfA,408
PRJBM_RS01060,infB,translation initiation factor IF-2,2538
PRJBM_RS01065,,RNA-binding protein,636
PRJBM_RS01070,nusA,transcription termination factor NusA,1587
PRJBM_RS01075,rimP,ribosome maturation factor RimP,651
PRJBM_RS01080,,tRNA (guanine(46)-N(7))-methyltransferase TrmB,702
PRJBM_RS01085,metK,methionine adenosyltransferase,1269
PRJBM_RS01090,,helix-turn-helix domain-containing protein,417
PRJBM_RS01095,lnt,apolipoprotein N-acyltransferase,1635
PRJBM_RS01100,,hemolysin family protein,1020
PRJBM_RS01105,ybeY,rRNA maturation RNase YbeY,477
PRJBM_RS01110,,PhoH family protein,1101
PRJBM_RS01115,miaB,tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB,1377
PRJBM_RS01120,rimI,ribosomal protein S18-alanine N-acetyltransferase,492
PRJBM_RS01125,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,684
PRJBM_RS01130,,putative sulfate exporter family transporter,1029
PRJBM_RS01135,recR,recombination mediator RecR,606
PRJBM_RS01140,,YbaB/EbfC family nucleoid-associated protein,327
PRJBM_RS01145,,DNA polymerase III subunit gamma/tau,1941
PRJBM_RS01150,,hypothetical protein,407
PRJBM_RS01155,,prephenate dehydratase,864
PRJBM_RS01160,,3-deoxy-manno-octulosonate cytidylyltransferase,732
PRJBM_RS01165,,c-type cytochrome,552
PRJBM_RS01170,yejB,microcin C ABC transporter permease YejB,1122
PRJBM_RS01175,,ABC transporter permease,1143
PRJBM_RS01180,,ABC transporter ATP-binding protein,1611
PRJBM_RS09300,,thiamine biosynthesis protein ThiF,156
PRJBM_RS01185,,molybdopterin-synthase adenylyltransferase MoeB,765
PRJBM_RS01190,gshB,glutathione synthase,939
PRJBM_RS01195,,substrate-binding domain-containing protein,1047
PRJBM_RS01200,pstC,phosphate ABC transporter permease subunit PstC,1461
PRJBM_RS01205,pstA,phosphate ABC transporter permease PstA,1293
PRJBM_RS01210,pstB,phosphate ABC transporter ATP-binding protein PstB,759
PRJBM_RS01215,phoU,phosphate signaling complex protein PhoU,723
PRJBM_RS09080,,hypothetical protein,228
PRJBM_RS01225,,cell wall hydrolase,846
PRJBM_RS01230,,aminopeptidase,1248
PRJBM_RS01235,mutM,bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,876
PRJBM_RS01240,,M20/M25/M40 family metallo-hydrolase,1389
PRJBM_RS01245,,ribonuclease D,621
PRJBM_RS01250,,hypothetical protein,312
PRJBM_RS01255,,porin family protein,831
PRJBM_RS01260,,porin,840
PRJBM_RS01265,,porin family protein,1176
PRJBM_RS01270,ileS,isoleucine--tRNA ligase,2916
PRJBM_RS01275,,hypothetical protein,594
PRJBM_RS01280,,nucleoside deaminase,447
PRJBM_RS01285,,rRNA pseudouridine synthase,1398
PRJBM_RS01290,rsmD,16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,570
PRJBM_RS01305,,TldD/PmbA family protein,1332
PRJBM_RS01310,,"3'(2'),5'-bisphosphate nucleotidase CysQ",804
PRJBM_RS01315,,DUF4170 domain-containing protein,246
PRJBM_RS01325,waaA,lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase,1323
PRJBM_RS01330,lpxK,tetraacyldisaccharide 4'-kinase,1020
PRJBM_RS01335,,DUF2093 domain-containing protein,237
PRJBM_RS01340,mutL,DNA mismatch repair endonuclease MutL,1839
PRJBM_RS01345,,2'-deoxycytidine 5'-triphosphate deaminase,1089
PRJBM_RS01350,lldD,FMN-dependent L-lactate dehydrogenase LldD,1152
PRJBM_RS09305,,SlyX protein,142
PRJBM_RS08420,,hypothetical protein,321
PRJBM_RS01360,,amino acid permease,1428
PRJBM_RS01365,,ATP-binding cassette domain-containing protein,681
PRJBM_RS01370,,energy-coupling factor transporter transmembrane protein EcfT,639
PRJBM_RS01375,,biotin transporter BioY,555
PRJBM_RS01380,,hypothetical protein,243
PRJBM_RS01395,,hypothetical protein,444
PRJBM_RS01400,,lysozyme,665
PRJBM_RS01405,,hypothetical protein,228
PRJBM_RS09310,,hypothetical protein,219
PRJBM_RS01415,,hypothetical protein,219
PRJBM_RS01420,,XRE family transcriptional regulator,371
PRJBM_RS01425,,site-specific integrase,1158
PRJBM_RS08445,,hypothetical protein,210
PRJBM_RS01430,,antA/AntB antirepressor family protein,591
PRJBM_RS01435,,type II toxin-antitoxin system RelB/DinJ family antitoxin,276
PRJBM_RS01440,,type II toxin-antitoxin system YafQ family toxin,291
PRJBM_RS01445,,hypothetical protein,213
PRJBM_RS09315,,hypothetical protein,204
PRJBM_RS01455,,hypothetical protein,228
PRJBM_RS01460,,glycoside hydrolase family protein,663
PRJBM_RS01465,,type II toxin-antitoxin system RelE/ParE family toxin,303
PRJBM_RS01470,,putative addiction module antidote protein,321
PRJBM_RS01475,,hypothetical protein,279
PRJBM_RS01480,,phage antirepressor Ant,732
PRJBM_RS01485,,antA/AntB antirepressor family protein,573
PRJBM_RS01490,,phage antirepressor Ant,549
PRJBM_RS01495,,phage late control protein,1308
PRJBM_RS01500,,tail protein X,225
PRJBM_RS01505,,phage tail protein,381
PRJBM_RS01510,,tail protein,2301
PRJBM_RS09320,,hypothetical protein,63
PRJBM_RS01515,,phage tail assembly protein,285
PRJBM_RS01520,,phage major tail tube protein,507
PRJBM_RS01525,,phage tail sheath subtilisin-like domain-containing protein,1233
PRJBM_RS01530,,Rha family transcriptional regulator,522
PRJBM_RS01535,,HigA family addiction module antitoxin,330
PRJBM_RS01540,,hypothetical protein,180
PRJBM_RS01545,,hypothetical protein,1326
PRJBM_RS01550,,DUF4815 domain-containing protein,3144
PRJBM_RS01555,,phage tail protein,1107
PRJBM_RS01560,,baseplate J/gp47 family protein,828
PRJBM_RS01565,,GPW/gp25 family protein,342
PRJBM_RS01570,,phage baseplate assembly protein V,690
PRJBM_RS01575,,hypothetical protein,543
PRJBM_RS01580,,toxin HicA,273
PRJBM_RS01585,,type II toxin-antitoxin system HicB family antitoxin,318
PRJBM_RS08475,,CopG family antitoxin,147
PRJBM_RS01590,,hypothetical protein,279
PRJBM_RS01595,,phage antirepressor Ant,759
PRJBM_RS01600,,phage antirepressor Ant,555
PRJBM_RS01605,,hypothetical protein,1074
PRJBM_RS01610,,hypothetical protein,354
PRJBM_RS01615,,major capsid protein,1077
PRJBM_RS01620,,head decoration protein,369
PRJBM_RS01625,,hypothetical protein,357
PRJBM_RS01630,,S49 family peptidase,1044
PRJBM_RS01635,,phage portal protein,1557
PRJBM_RS01640,,hypothetical protein,249
PRJBM_RS01645,,phage terminase large subunit family protein,1929
PRJBM_RS01650,,hypothetical protein,582
PRJBM_RS01655,,type II toxin-antitoxin system RelE/ParE family toxin,315
PRJBM_RS01660,,HigA family addiction module antitoxin,297
PRJBM_RS01665,,type II toxin-antitoxin system RelB/DinJ family antitoxin,264
PRJBM_RS01670,,type II toxin-antitoxin system YafQ family toxin,282
PRJBM_RS01675,,hypothetical protein,279
PRJBM_RS01680,,phage antirepressor Ant,759
PRJBM_RS01685,,phage antirepressor Ant,516
PRJBM_RS01690,,antA/AntB antirepressor family protein,840
PRJBM_RS01695,,phage antirepressor Ant,543
PRJBM_RS01700,,hypothetical protein,579
PRJBM_RS01705,,hypothetical protein,321
PRJBM_RS01710,,type II toxin-antitoxin system HicB family antitoxin,396
PRJBM_RS01715,,type II toxin-antitoxin system HicA family toxin,201
PRJBM_RS01720,,hypothetical protein,537
PRJBM_RS01725,ssb,single-stranded DNA-binding protein,447
PRJBM_RS01730,,type II toxin-antitoxin system RelE/ParE family toxin,282
PRJBM_RS01735,,HigA family addiction module antitoxin,294
PRJBM_RS01740,,hypothetical protein,327
PRJBM_RS01745,,hypothetical protein,420
PRJBM_RS01750,,DUF1376 domain-containing protein,1113
PRJBM_RS01755,,DUF1376 domain-containing protein,348
PRJBM_RS01760,,hypothetical protein,477
PRJBM_RS01765,,hypothetical protein,867
PRJBM_RS01770,,hypothetical protein,366
PRJBM_RS01775,,hypothetical protein,360
PRJBM_RS01780,,transcriptional regulator,618
PRJBM_RS01785,,hypothetical protein,375
PRJBM_RS01790,,Rha family transcriptional regulator,393
PRJBM_RS01795,,antA/AntB antirepressor family protein,759
PRJBM_RS01800,,hypothetical protein,384
PRJBM_RS01805,,ERF family protein,780
PRJBM_RS01810,,YqaJ viral recombinase family protein,624
PRJBM_RS01815,,helix-turn-helix domain-containing protein,204
PRJBM_RS01825,,phosphoserine transaminase,1164
PRJBM_RS01830,,adenylosuccinate synthase,1290
PRJBM_RS01835,,hypothetical protein,1356
PRJBM_RS01840,rpoH,RNA polymerase sigma factor RpoH,885
PRJBM_RS01845,,RluA family pseudouridine synthase,1005
PRJBM_RS01850,,aldehyde dehydrogenase family protein,1431
PRJBM_RS01855,,DNA translocase FtsK,2526
PRJBM_RS09325,,hypothetical protein,159
PRJBM_RS01865,,HAMP domain-containing histidine kinase,1314
PRJBM_RS01870,mscL,large conductance mechanosensitive channel protein MscL,414
PRJBM_RS01875,,quinone-dependent dihydroorotate dehydrogenase,1089
PRJBM_RS01885,,glutamine synthetase family protein,1428
PRJBM_RS01890,,FAD-binding oxidoreductase,1284
PRJBM_RS01895,zwf,glucose-6-phosphate dehydrogenase,1476
PRJBM_RS01900,pgl,6-phosphogluconolactonase,759
PRJBM_RS01905,edd,phosphogluconate dehydratase,1824
PRJBM_RS01910,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,900
PRJBM_RS01915,,AsmA family protein,1875
PRJBM_RS09085,,hypothetical protein,144
PRJBM_RS01920,,16S rRNA (uracil(1498)-N(3))-methyltransferase,744
PRJBM_RS01925,,glutamate--cysteine ligase,1374
PRJBM_RS01930,,cation:dicarboxylase symporter family transporter,1356
PRJBM_RS01935,,methyltransferase domain-containing protein,885
PRJBM_RS01940,,ComF family protein,786
PRJBM_RS01945,grxC,glutaredoxin 3,258
PRJBM_RS01950,,bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase,744
PRJBM_RS01955,,aspartate kinase,1257
PRJBM_RS01960,nhaA,Na+/H+ antiporter NhaA,1362
PRJBM_RS01965,,hypothetical protein,1689
PRJBM_RS01970,,SLC13 family permease,1773
PRJBM_RS01975,,tetratricopeptide repeat protein,672
PRJBM_RS01980,der,ribosome biogenesis GTPase Der,1428
PRJBM_RS09330,,integrase,442
PRJBM_RS01990,,AtpZ/AtpI family protein,426
PRJBM_RS01995,,F0F1 ATP synthase subunit A,759
PRJBM_RS02000,,F0F1 ATP synthase subunit C,231
PRJBM_RS02005,,F0F1 ATP synthase subunit B,567
PRJBM_RS02010,,F0F1 ATP synthase subunit B,495
PRJBM_RS02015,glyS,glycine--tRNA ligase subunit beta,2223
PRJBM_RS02020,,glycine--tRNA ligase subunit alpha,954
PRJBM_RS02025,,tetratricopeptide repeat protein,1695
PRJBM_RS02030,,polyprenyl synthetase family protein,1071
PRJBM_RS02035,,methyltransferase,792
PRJBM_RS02040,,S49 family peptidase,852
PRJBM_RS02045,,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,909
PRJBM_RS02050,,site-specific integrase,1040
PRJBM_RS02055,,ribonuclease HII,672
PRJBM_RS02060,,L-threonylcarbamoyladenylate synthase,963
PRJBM_RS02065,,FAD-binding oxidoreductase,1410
PRJBM_RS02070,,DUF6101 family protein,525
PRJBM_RS02075,purD,phosphoribosylamine--glycine ligase,1284
PRJBM_RS02080,ubiA,4-hydroxybenzoate octaprenyltransferase,1005
PRJBM_RS02090,pdxH,pyridoxamine 5'-phosphate oxidase,624
PRJBM_RS02095,,J domain-containing protein,903
PRJBM_RS02100,fabI,enoyl-ACP reductase FabI,819
PRJBM_RS02105,aroC,chorismate synthase,1101
PRJBM_RS02110,ribB,"3,4-dihydroxy-2-butanone-4-phosphate synthase",1107
PRJBM_RS02115,,exodeoxyribonuclease VII small subunit,255
PRJBM_RS02120,dxs,1-deoxy-D-xylulose-5-phosphate synthase,1923
PRJBM_RS02125,,TlyA family RNA methyltransferase,750
PRJBM_RS02130,,class I SAM-dependent RNA methyltransferase,1254
PRJBM_RS02135,tldD,metalloprotease TldD,1419
PRJBM_RS02140,,invasion associated locus B family protein,525
PRJBM_RS02145,cyoE,heme o synthase,939
PRJBM_RS02150,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,1032
PRJBM_RS02155,,homoserine kinase,960
PRJBM_RS02160,rnhA,ribonuclease HI,468
PRJBM_RS02165,,hypothetical protein,855
PRJBM_RS02170,,YqgE/AlgH family protein,585
PRJBM_RS02175,,EAL domain-containing protein,2886
PRJBM_RS02180,,insulinase family protein,1281
PRJBM_RS02185,thrC,threonine synthase,1398
PRJBM_RS02190,,hypothetical protein,369
PRJBM_RS02195,,hypothetical protein,363
PRJBM_RS02200,,hypothetical protein,336
PRJBM_RS02205,,HAD-IA family hydrolase,702
PRJBM_RS02210,,site-specific DNA-methyltransferase,1137
PRJBM_RS02215,mutY,A/G-specific adenine glycosylase,1107
PRJBM_RS02220,,DciA family protein,501
PRJBM_RS02225,,DsbA family protein,657
PRJBM_RS02230,ppdK,"pyruvate, phosphate dikinase",2676
PRJBM_RS02235,,peptidoglycan-binding protein,849
PRJBM_RS02240,,DUF5330 domain-containing protein,375
PRJBM_RS02245,,SufE family protein,411
PRJBM_RS02250,,MucR family transcriptional regulator,438
PRJBM_RS02255,,S9 family peptidase,2097
PRJBM_RS02260,,superoxide dismutase,603
PRJBM_RS02270,,DUF1499 domain-containing protein,786
PRJBM_RS02275,,hypothetical protein,540
PRJBM_RS02280,,DUF1214 domain-containing protein,597
PRJBM_RS02285,,penicillin-binding protein 1A,2151
PRJBM_RS02290,,hypothetical protein,234
PRJBM_RS02295,,response regulator transcription factor,669
PRJBM_RS02300,,HAMP domain-containing histidine kinase,1413
PRJBM_RS02305,,tetratricopeptide repeat protein,735
PRJBM_RS02310,ccmE,cytochrome c maturation protein CcmE,480
PRJBM_RS02315,,heme lyase CcmF/NrfE family subunit,1986
PRJBM_RS02320,,cytochrome c-type biogenesis protein CcmH,459
PRJBM_RS02325,,Do family serine endopeptidase,1512
PRJBM_RS02330,,response regulator transcription factor,687
PRJBM_RS02335,,HAMP domain-containing histidine kinase,1383
PRJBM_RS02340,,bifunctional [glutamine synthetase] adenylyltransferase/[glutamine synthetase]-adenylyl-L-tyrosine phosphorylase,2925
PRJBM_RS02345,,porin family protein,825
PRJBM_RS02350,,methylated-DNA--[protein]-cysteine S-methyltransferase,525
PRJBM_RS02355,,ATP-binding protein,2322
